file,lib,gate,bio_rep,facs_rep,tech_rep,seq,note
7-12-E2-1r_S33,even2,1,1,1,2,2,
7-12-E2-2_S10,even2,2,1,1,1,2,
7-12-E2-2b_S14,even2,2,1,2,1,2,
7-12-E2-2br_S38,even2,2,1,2,2,2,
7-12-E2-2r_S34,even2,2,1,1,2,2,
7-12-E2-3_S11,even2,3,1,1,1,2,
7-12-E2-3b_S15,even2,3,1,2,1,2,
7-12-E2-3br_S39,even2,3,1,2,2,2,
7-12-E2-3r_S35,even2,3,1,1,2,2,
7-12-E2-4_S12,even2,4,1,1,1,2,
7-12-E2-4b_S16,even2,4,1,2,1,2,
7-12-E2-4br_S40,even2,4,1,2,2,2,
7-12-E2-4r_S36,even2,4,1,1,2,2,
7-12-O4-1_S1,odd4,1,2,1,1,2,
7-12-O4-1b_S5,odd4,1,2,2,1,2,
7-12-O4-1br_S29,odd4,1,2,2,2,2,
7-12-O4-1r_S25,odd4,1,2,1,2,2,
7-12-O4-2_S2,odd4,2,2,1,1,2,
7-12-O4-2b_S6,odd4,2,2,2,1,2,
7-12-O4-2br_S30,odd4,2,2,2,2,2,
7-12-O4-2r_S26,odd4,2,2,1,2,2,
7-12-O4-3_S3,odd4,3,2,1,1,2,
7-12-O4-3b_S7,odd4,3,2,2,1,2,
7-12-O4-3br_S31,odd4,3,2,2,2,2,
7-12-O4-3r_S27,odd4,3,2,1,2,2,
7-12-O4-4_S4,odd4,4,2,1,1,2,
7-12-O4-4b_S8,odd4,4,2,2,1,2,
7-12-O4-4br_S32,odd4,4,2,2,2,2,
7-12-O4-4r_S28,odd4,4,2,1,2,2,
8-12-E2-1_S9,even2,1,2,1,1,4,
8-12-E2-1b_S13,even2,1,2,2,1,4,
8-12-E2-1br_S37,even2,1,2,2,2,4,
8-12-E2-1r_S33,even2,1,2,1,2,4,
8-12-E2-2_S10,even2,2,2,1,1,4,
8-12-E2-2b_S14,even2,2,2,2,1,4,
8-12-E2-2br_S38,even2,2,2,2,2,4,
8-12-E2-2r_S34,even2,2,2,1,2,4,
8-12-E2-3_S11,even2,3,2,1,1,4,
8-12-E2-3b_S15,even2,3,2,2,1,4,
8-12-E2-3br_S39,even2,3,2,2,2,4,
8-12-E2-3r_S35,even2,3,2,1,2,4,
8-12-E2-4_S12,even2,4,2,1,1,4,
8-12-E2-4b_S16,even2,4,2,2,1,4,
8-12-E2-4br_S40,even2,4,2,2,2,4,
8-12-E2-4r_S36,even2,4,2,1,2,4,
8-12-O4-1_S17,odd4,1,3,1,1,2,
8-12-O4-1b_S21,odd4,1,3,2,1,2,
8-12-O4-1br_S45,odd4,1,3,2,2,2,
8-12-O4-1r_S41,odd4,1,3,1,2,2,
8-12-O4-2_S18,odd4,2,3,1,1,2,
8-12-O4-2b_S22,odd4,2,3,2,1,2,
8-12-O4-2br_S46,odd4,2,3,2,2,2,
8-12-O4-2r_S42,odd4,2,3,1,2,2,
8-12-O4-3_S19,odd4,3,3,1,1,2,
8-12-O4-3b_S23,odd4,3,3,2,1,2,
8-12-O4-3br_S47,odd4,3,3,2,2,2,
8-12-O4-3r_S43,odd4,3,3,1,2,2,
8-12-O4-4_S20,odd4,4,3,1,1,2,
8-12-O4-4b_S24,odd4,4,3,2,1,2,
8-12-O4-4br_S48,odd4,4,3,2,2,2,
8-12-O4-4r_S44,odd4,4,3,1,2,2,
